,Unnamed: 0.1,Unnamed: 0,ID,L1,L1_2,text,shortened_text,SPOT,level,num_sentences,num_tokens,mean_tokens_per_sentence,type_token_ratio,num_verbs,total_char_count,LIM_count,HIM_count,wago_count,kango_count,tokyollm_8B_Instruct_surp,tokyollm_8B_surp,jpllm_3.7b_Instruct_surp,jpllm_3.7b_surp,llama_8B_Instruct_surp,llama_8B_surp
85,85,85,GAT19,DEU,ドイツ語,"ファストフードを食べてみるであろうか。もちろん、人々の多くはこの実門に「はい」と答える。時間があまりない時や、AからBまで速く行かなくては行けない時、ファストフードを食べることはとても簡単で便利なことである。ファストフードについて考えたら、最初マックやKFCなどに作られた食べ物だと考える。しかし、あれは体に悪い。でも、あの食べ物ばっかりファストフードというものであるか。ファストフードは英語で「速い食べ物」という意味で、道や駅内やスパーで買ったおにぎりやすしもファストフードである。
うちで自分か家族と作った食べ物は体に良くておいしい。それで、家族や友達と飲食するのはいい時である。でも、料理をするなら、長い時間が要りながら、友達や家族といっしょに料理をして話すのは楽しめる。食材を買いに行くのはときどき物価が高いで大変である。一方で、ゆっくり食事するのも体にいいである。
それから、マックやKFCで食事するのよりうちで食べることはいいである。時間にファストフードはいちばん速いが、速く食べることは胃に悪いから、たぶん調子は悪くなる。友達とうちでゆっくり食べて話すことは、一人でどこかでファストフードを食べるのより楽しいである。今度、ファストフードを食べなくては行けない時、体にいいおにぎりやお寿司など食べようか、うちで家族と友達と食べよう。","ファストフードを食べてみるであろうか。もちろん、人々の多くはこの実門に「はい」と答える。時間があまりない時や、AからBまで速く行かなくては行けない時、ファストフードを食べることはとても簡単で便利なことである。ファストフードについて考えたら、最初マックやKFCなどに作られた食べ物だと考える。しかし、あれは体に悪い。でも、あの食べ物ばっかりファストフードというものであるか。ファストフードは英語で「速い食べ物」という意味で、道や駅内やスパーで買ったおにぎりやすしもファストフードである。
うちで自分か家族と作った食べ物は体に良くておいしい。それで、家族や友達と飲食するのはいい時である。でも、料理をするなら、長い時間が要りながら、友達や家族といっしょに料理をして話すのは楽しめる。食材を買いに行くのはときどき物価が高いで大変である。一方で、ゆっくり食事するのも体にいいである。
それから、マックやKFCで食事するのよりうちで食べることはいいである。時間にファストフードはいちばん速いが、速く食べることは胃に悪いから、たぶん調子は悪くなる。友達とうちでゆっくり食べて話すことは、一人でどこかでファストフードを食べるのより楽しいである。今度、ファストフードを食べなくては行けない時、体にいいおにぎりやお寿司など食べようか、うちで家族と友達と食べよう。",55.0,beginner,16.0,278.0,17.375,0.381294964028777,14.0,572.0,9.0,8.0,141.0,32.0,2.8,2.309,3.686,3.604,2.663,2.568
86,86,86,GAT20,DEU,ドイツ語,"「マクドナルドに行かない？」と聞くことは希少ではない。複数の若者や大人はよくファストフードを食べて、自分で料理をしない。それで、私は「どうして、その動きが芽生えてきたか。」と問いかけた。
ファストフードを食べるのは、もうできたので、手料理より速い。それに、おいしくて安い。その理由は人間のために必要だ。そして、多さの人々はあまり、ぜんぜん料理しない。一方で、手料理で時間や能力が要るはずだ。買い物をしたり、準備したり、料理をしたりすることは全部時間が要る。でも、買い物に行けば、自分で材料を選べて、何は食べ物の中であると知ている。一方、ファストフードは何が中には知らない。また、料理しながら食品で取り組んでいる。こういう野菜や果物、色々な食品を学んでいる。よく料理をするにつれて、ずっと上手になっている。多い製法も学んでいる。自分で料理をすれば、栄養に気つくのはもっと簡単だ。しかし、日本で手料理に新鮮な野菜などの材料を買うことは高いかもしれない。それゆえ、みんなの人間はそのを買うお金がないかもしれない。
私はオストリアに住んでいて、ここは料理の材料のほうが、もう作った食べ物より、安いから、自分で料理をすろことはいいと思っている。ファストフードは病的なのに、時々だけそのを食べるのはだいじょうぶだと考えている。","「マクドナルドに行かない？」と聞くことは希少ではない。複数の若者や大人はよくファストフードを食べて、自分で料理をしない。それで、私は「どうして、その動きが芽生えてきたか。」と問いかけた。
ファストフードを食べるのは、もうできたので、手料理より速い。それに、おいしくて安い。その理由は人間のために必要だ。そして、多さの人々はあまり、ぜんぜん料理しない。一方で、手料理で時間や能力が要るはずだ。買い物をしたり、準備したり、料理をしたりすることは全部時間が要る。でも、買い物に行けば、自分で材料を選べて、何は食べ物の中であると知ている。一方、ファストフードは何が中には知らない。また、料理しながら食品で取り組んでいる。こういう野菜や果物、色々な食品を学んでいる。よく料理をするにつれて、ずっと上手になっている。多い製法も学んでいる。自分で料理をすれば、栄養に気つくのはもっと簡単だ。しかし、日本で手料理に新鮮な野菜などの材料を買うことは高いかもしれない。それゆえ、みんなの人間はそのを買うお金がないかもしれない。
私はオストリアに住んでいて、ここは料理の材料のほうが、もう作った食べ物より、安いから、自分で料理をすろことはいいと思っている。ファストフードは病的なのに、時々だけそのを食べるのはだいじょうぶだと考えている。",57.0,intermediate,22.0,281.0,12.772727272727272,0.4234875444839858,22.0,557.0,16.0,14.0,144.0,40.0,3.19,2.817,4.202,4.095,3.12,3.028
87,87,87,GAT21,DEU,ドイツ語,"最近のライフスタイルが変りましたので、食生活も変りました。
ファーストフードは世界中どこでも人気になりました。
MCDonaldsだけではなく、沢山ファーストフードのレストランがあります。
人々は沢山理由によって、ファーストフードを食べます。
一番大切な理由はファーストフードが速くて、便利だと思います。特に会社員は一日中働かなくてはいけません。ですから、もし自分で料理を作ったら、長い間がかかると思います。
他の理由はファーストフードは新鮮の料理と比べて、もっと安いと思います。特に一人に住んでいる人は自分で料理を作ると、材料はとても高くなります。
最後の理由は沢山人はファーストフードの味が好きだと思います。
ファーストフードを食べると、時間は少ないです。ファーストフードは速く食べられて、便利です。
それに対して、自分の家で作った料理を食べるの時間は時々長くなります。
人々はもちろん食べ物を食べなくてはいけませんですが、もしいつも少ない間だけ使うと、健康についてとてもよくないと思います。
最近は、特に子供がファーストフードをよく食べます。これはちょっと問題になったと思います。もし運動不足だったら、体重が増えてしまいます。
ですから、自分の家で、新鮮の料理を作るのは大切だと思います。ファーストフードのような料理も家で、作ったら、おいしくて、もっとヘルシーになると思います。
速くライフスタイルも体にとてもよくないと思いますから、体を休めて、ゆっくりいい食べ物を食べるのがとても大切です。","最近のライフスタイルが変りましたので、食生活も変りました。
ファーストフードは世界中どこでも人気になりました。
MCDonaldsだけではなく、沢山ファーストフードのレストランがあります。
人々は沢山理由によって、ファーストフードを食べます。
一番大切な理由はファーストフードが速くて、便利だと思います。特に会社員は一日中働かなくてはいけません。ですから、もし自分で料理を作ったら、長い間がかかると思います。
他の理由はファーストフードは新鮮の料理と比べて、もっと安いと思います。特に一人に住んでいる人は自分で料理を作ると、材料はとても高くなります。
最後の理由は沢山人はファーストフードの味が好きだと思います。
ファーストフードを食べると、時間は少ないです。ファーストフードは速く食べられて、便利です。
それに対して、自分の家で作った料理を食べるの時間は時々長くなります。
人々はもちろん食べ物を食べなくてはいけませんですが、もしいつも少ない間だけ使うと、健康についてとてもよくないと思います。
最近は、特に子供がファーストフードをよく食べます。これはちょっと問題になったと思います。もし運動不足だったら、体重が増えてしまいます。
ですから、自分の家で、新鮮の料理を作るのは大切だと思います。ファーストフードのような料理も家で、作ったら、おいしくて、もっとヘルシーになると思います。
速くライフスタ",67.0,intermediate,20.0,308.0,15.4,0.3409090909090909,17.0,649.0,22.0,9.0,125.0,47.0,2.406,1.964,3.373,3.256,2.486,2.32
88,88,88,GAT23,DEU,ドイツ語,"現在の人は時間があまりないみたい。どこでも見ても、忙しくてストレスを沢山持っている人が多いので、暇な時はなくなって来た。だからファーストフードを食べる人の数が増え、ホームクッキングをする人が減って来たそう。確かに、ファーストフードは安くてどこでも買える。それに、ファーストフードは早く出来て、レストランでも、街でも、歩いても食べられるから便利だが、毎日食べたら、すぐ太ってしまって、健康にも良くないと思う。更に、ファーストフードの中に何が入ったら大体知らないから、ちょっと危ないような気がする。
ファーストフードと比べてホームクッキングはすぐ出来ないけど、健康の為にホームクッキングはもっと良い感じがする。食材は自分で決めて、ヘルシーな食事が作れる。それに、家族や友達と一緒に料理をするのは楽しい。一緒に新しい料理を作ってみて、色々なことが勉強出来る。お大人だけではなくて、子供にもホームクッキングは大切だと思う。子供の健康の為にファーストフードは良くない。ファーストフードの中にビタミンがあまりない感じがする。だから、よく食べたら、子供の成育は良くなれなさそう。
ホームクッキングはファーストフードより美味しくて、健康にも良いので、忙しくても自分で料理をするのは大切だと思う。料理をするのは時々大変だけど、自分の体を考えて、ヘルシーな食べ物を作るようにしてみよう。","現在の人は時間があまりないみたい。どこでも見ても、忙しくてストレスを沢山持っている人が多いので、暇な時はなくなって来た。だからファーストフードを食べる人の数が増え、ホームクッキングをする人が減って来たそう。確かに、ファーストフードは安くてどこでも買える。それに、ファーストフードは早く出来て、レストランでも、街でも、歩いても食べられるから便利だが、毎日食べたら、すぐ太ってしまって、健康にも良くないと思う。更に、ファーストフードの中に何が入ったら大体知らないから、ちょっと危ないような気がする。
ファーストフードと比べてホームクッキングはすぐ出来ないけど、健康の為にホームクッキングはもっと良い感じがする。食材は自分で決めて、ヘルシーな食事が作れる。それに、家族や友達と一緒に料理をするのは楽しい。一緒に新しい料理を作ってみて、色々なことが勉強出来る。お大人だけではなくて、子供にもホームクッキングは大切だと思う。子供の健康の為にファーストフードは良くない。ファーストフードの中にビタミンがあまりない感じがする。だから、よく食べたら、子供の成育は良くなれなさそう。
ホームクッキングはファーストフードより美味しくて、健康にも良いので、忙しくても自分で料理をするのは大切だと思う。料理をするのは時々大変だけど、自分の体を考えて、ヘルシーな食べ物を作るようにしてみよう。",69.0,intermediate,16.0,293.0,18.3125,0.3856655290102389,26.0,583.0,22.0,10.0,131.0,30.0,2.346,1.971,3.058,3.006,2.376,2.279
89,89,89,GAT25,DEU,ドイツ語,現在、先進諸国で住んでいる人達はあまり時間がなくなって来ました。両親は毎日子供のために仕事で頑張っています。子供達は出世になるように学校と大学で一所懸命勉強をしています。それで大体誰にも食習慣について事を考えていません。私は二年前日本の東京で住んでいました。学校が終わったら早くにコンビ二で食べ物を買ってアルバイトへ行きました。アルバイトが終わったらまたオリジン弁当かMatsuyaで家帰る前に少し食べました。私の意見で日本は「便利な社会」だと思います。いつでも、どこでも、何でも買うことができます。一方で日本のファスト・フードは私の国に比べると全然違います。オストリアではファスーと・フードは大体McDonaldsとピザです。日本ではそれでもありますけど不健康じゃないファスト・フードもありますよ。例えば魚が入いているメニューも多いです。コンビ二菜食主義の弁当もあります。私は大学生だからテストが多い時にもちろんファスト・フード食べますが、週末の時によく友達と一緒に料理を作ります。ちょっとワインを飲んだり、料理を作ったりいろいろな事を話しています。いつでもとても楽しかったです。友達と一緒にクッキングをしたらすごく円居ですから、いつでも時間があったらそれはファスト・フードより楽しかったです。「いただきます」,現在、先進諸国で住んでいる人達はあまり時間がなくなって来ました。両親は毎日子供のために仕事で頑張っています。子供達は出世になるように学校と大学で一所懸命勉強をしています。それで大体誰にも食習慣について事を考えていません。私は二年前日本の東京で住んでいました。学校が終わったら早くにコンビ二で食べ物を買ってアルバイトへ行きました。アルバイトが終わったらまたオリジン弁当かMatsuyaで家帰る前に少し食べました。私の意見で日本は「便利な社会」だと思います。いつでも、どこでも、何でも買うことができます。一方で日本のファスト・フードは私の国に比べると全然違います。オストリアではファスーと・フードは大体McDonaldsとピザです。日本ではそれでもありますけど不健康じゃないファスト・フードもありますよ。例えば魚が入いているメニューも多いです。コンビ二菜食主義の弁当もあります。私は大学生だからテストが多い時にもちろんファスト・フード食べますが、週末の時によく友達と一緒に料理を作ります。ちょっとワインを飲んだり、料理を作ったりいろいろな事を話しています。いつでもとても楽しかったです。友達と一緒にクッキングをしたらすごく円居ですから、いつでも時間があったらそれはファスト・フードより楽しかったです。「いただきます」,62.0,intermediate,18.0,280.0,15.555555555555555,0.4714285714285714,22.0,556.0,15.0,8.0,127.0,40.0,3.006,2.464,4.108,4.014,3.009,2.846
90,90,90,GAT28,DEU,ドイツ語,"全世界に人々がファーストフードをたくさん食べています。早くて安い食べ物なので、ファーストフードは子供の中でも大人の中でも人気です。私も時々いろいろなファーストフードを食べますが、食べすぎるのは健康にわるいと思います。
いつもファーストフードを食べているより、自分で料理をしたほうがいいと思います。家で自分で料理を作ったら、材料が自分で選ぶことができます。そのため、新鮮で健康によい食べ物が作ることができます。ファーストフードを食べたら、全部の材料を知りません。これもファーストフードのマイナス点だと思います。多数のファーストフードがたくさんの油と塩で作られているので、とても健康にわるいです。このようなファーストフードを食べすぎたら、太って病気になってしまうことがあります。たから、健康のために自分で料理を作ったほうがいいと思います。
でも、現在ではほとんどの人が忙しいので、料理のためあまり時間がありません。ほとんど毎日働かなくてはいけないので、料理を作る時間がありません。そして、仕事が終わって、うちへ帰ったら、たくさんの人は料理を作る気もありません。たから、晩にもよくファーストフードを食べています。
一週間に一度ファーストフードを食べたら、大丈夫だと思いますが、よく食べていることは悪いです。家でごはんを食べたら、家族にとってもいいと思います。みんなと一緒に料理を作ったり、一緒にごはんを楽しんだりすることができます。レストランより、家でゆっくり食べていると思うので、健康にもいい点です。
ファーストフードがおいしくても、食べすぎないように注意が必要だと思います。早いファーストフードを買うより、家で新鮮に料理を作ったほうがいいです。自分で料理を作ったら、健康にいい材料でごはんを作るだけではなく、楽しいこともあります。","全世界に人々がファーストフードをたくさん食べています。早くて安い食べ物なので、ファーストフードは子供の中でも大人の中でも人気です。私も時々いろいろなファーストフードを食べますが、食べすぎるのは健康にわるいと思います。
いつもファーストフードを食べているより、自分で料理をしたほうがいいと思います。家で自分で料理を作ったら、材料が自分で選ぶことができます。そのため、新鮮で健康によい食べ物が作ることができます。ファーストフードを食べたら、全部の材料を知りません。これもファーストフードのマイナス点だと思います。多数のファーストフードがたくさんの油と塩で作られているので、とても健康にわるいです。このようなファーストフードを食べすぎたら、太って病気になってしまうことがあります。たから、健康のために自分で料理を作ったほうがいいと思います。
でも、現在ではほとんどの人が忙しいので、料理のためあまり時間がありません。ほとんど毎日働かなくてはいけないので、料理を作る時間がありません。そして、仕事が終わって、うちへ帰ったら、たくさんの人は料理を作る気もありません。たから、晩にもよくファーストフードを食べています。
一週間に一度ファーストフードを食べたら、大丈夫だと思いますが、よく食べていることは悪いです。家でごはんを食べたら、家族にとってもいいと思います。みんなと一緒に料理を作ったり、一緒にごはんを楽し",63.0,intermediate,22.0,388.0,17.636363636363637,0.2912371134020619,20.0,764.0,23.0,3.0,153.0,52.0,2.308,1.808,3.126,2.984,2.129,2.065
91,91,91,GAT30,DEU,ドイツ語,"皆はいつも時間がないから、早く食べるのことは普通になってきたと思います。そうしたら、世界中にファスト・フードが人気になりました。ファスト・フードは便利だけど、バーガーの内容物は牛肉だけですか。さらに、牛はいい草を食べたの？牛は元気でしょうか。そのこと皆、知らないね。
皆は、仕事で忙しいので、ラーメンなど早く食べた後で、会社に戻ります。仕事が終わって、電車で帰宅しています。さらに、家でテレビを見ながら、早く作ったインスタントラーメンを食べますね。もちろん、奇跡でも起こらない限り、体が悪くなったと思います。だから、ストレスによる潰瘍がある人が増えてきたと思います。他に過労死のこともあります。現代の世界はもストレスの世界だと思います。今、人間の体は大切じゃなくて、仕事とお金がほうが大切になりました。
最近、オーストリアでオーガニック食べ物が人気になりました。肥料を使わなくて、健康的な食べ物が増えてきたと思います。新鮮な食べ物を買って、家で友達と一緒に料理を作るのはとても楽しいです。さらに、新しい友達に会ったり、話したり、音楽を聞いたりするのはいいことですね。だから、愛想の良くて、体もよくなるので、オーガニック・フードやスロー・フードを食べるのはいい点です。其の上、現代の世界は愛想のよくなってきました。皆はフェイスブックとか、ツイッターとか、ブログとかスマホとかを使うので、コミュニケーション能力が忘れてしまったと思います。","皆はいつも時間がないから、早く食べるのことは普通になってきたと思います。そうしたら、世界中にファスト・フードが人気になりました。ファスト・フードは便利だけど、バーガーの内容物は牛肉だけですか。さらに、牛はいい草を食べたの？牛は元気でしょうか。そのこと皆、知らないね。
皆は、仕事で忙しいので、ラーメンなど早く食べた後で、会社に戻ります。仕事が終わって、電車で帰宅しています。さらに、家でテレビを見ながら、早く作ったインスタントラーメンを食べますね。もちろん、奇跡でも起こらない限り、体が悪くなったと思います。だから、ストレスによる潰瘍がある人が増えてきたと思います。他に過労死のこともあります。現代の世界はもストレスの世界だと思います。今、人間の体は大切じゃなくて、仕事とお金がほうが大切になりました。
最近、オーストリアでオーガニック食べ物が人気になりました。肥料を使わなくて、健康的な食べ物が増えてきたと思います。新鮮な食べ物を買って、家で友達と一緒に料理を作るのはとても楽しいです。さらに、新しい友達に会ったり、話したり、音楽を聞いたりするのはいいことですね。だから、愛想の良くて、体もよくなるので、オーガニック・フードやスロー・フードを食べるのはいい点です。其の上、現代の世界は愛想のよくなってきました。皆はフェイスブックとか、ツイッターとか、ブログとかスマホとかを使うので、コミュニケーショ",52.0,beginner,21.0,308.0,14.666666666666666,0.4253246753246753,21.0,617.0,29.0,16.0,123.0,43.0,2.658,2.289,3.947,3.867,2.644,2.545
92,92,92,GAT39,DEU,ドイツ語,"ファーストフードは世界中で食べられています。毎都会にマクドナルドやKFCの店があります。それに、人々は毎日忙しくて、自分で料理をする時間がだんだん減っています。ですからファーストフードは店でだけではなく、家でもよく食べられています。早くて便利ですね。しかし、旅行中にどこで食べたほうがいいですか。マクドナルドのハンバーガーか国の名物食事、どちらのほうが美味しいですか。帰ったから、どちらの写真がもっと面白いですか。
食事は食べることだけでわなく、ライフ･スタイルの決心です。食事について決心するとはステートメントだと思います。それに、健康についての決心もです。やはり、ファーストフードは便利ですが、毎日食べるのは体によくありません。ときどき、ハンバーガーやサンドイッチを食べるのは問題じゃありませんが、バランスは大切です。
最近、もっと人々は健康的な食事の大切さについて考えています。バイオはだんだん一番人気なライフ･スタイルになって、今バイオ食品は新しいファーストフードになります。マクドナルドにさえ、バイオは人気ですよ。この変化はいいだと思います。","ファーストフードは世界中で食べられています。毎都会にマクドナルドやKFCの店があります。それに、人々は毎日忙しくて、自分で料理をする時間がだんだん減っています。ですからファーストフードは店でだけではなく、家でもよく食べられています。早くて便利ですね。しかし、旅行中にどこで食べたほうがいいですか。マクドナルドのハンバーガーか国の名物食事、どちらのほうが美味しいですか。帰ったから、どちらの写真がもっと面白いですか。
食事は食べることだけでわなく、ライフ･スタイルの決心です。食事について決心するとはステートメントだと思います。それに、健康についての決心もです。やはり、ファーストフードは便利ですが、毎日食べるのは体によくありません。ときどき、ハンバーガーやサンドイッチを食べるのは問題じゃありませんが、バランスは大切です。
最近、もっと人々は健康的な食事の大切さについて考えています。バイオはだんだん一番人気なライフ･スタイルになって、今バイオ食品は新しいファーストフードになります。マクドナルドにさえ、バイオは人気ですよ。この変化はいいだと思います。",55.0,beginner,17.0,225.0,13.235294117647058,0.4222222222222222,10.0,476.0,13.0,9.0,88.0,32.0,2.699,2.25,4.134,3.958,2.649,2.507
93,93,93,GAT46,DEU,ドイツ語,"一日中頑張って働いた後、帰り道についでコンビ二やスーパーでインスタントラーメンを買ってテレビの前に食べながら寝てしまう。
なぜ多くの人々がこの寂しい生活に慣れてきたのでしょうか。
まず、インターネットやソシァルネットワークによってインフォメーションがとても早く伝えるようになりました。インフォメーションや情報を交換するのはもっと早くもっと簡単になればなるほど人間の生活も忙しくなりました。
次に、忙しい日常生活の中にご飯を作る時間がどんどん減ってきました。確かに、ご飯を作る代わりにファーストフードを買うのは一番便利で安いです。
しかし、家族や友達と一緒にご飯を楽しめる時間もなくなります。
または、ファーストフードが安い一方で、自分で作ったご飯と違って健康にあまりよくないです。
私たちは忙しい毎日の中に、ファーストフードを買ったり早く食べたりすることで大切な物を失っていると思います。大切な物と言うのはご飯を作ったり友達と一緒に食べたり、コミューニケーションを取ったりすることです。つまり、人間のライフスタイルが変わるにつれてこの社会の人々が寂しくなると言うことです。
情報やインフォーメーションが早く伝えるようになったため私たちの生活が忙しくなったのは現実です。それにしても、健康を気せずに便利なファストフードを食べるか、友達関係を深むためにご飯を作るか、私たち人間は選ぶことができます。
あなたはどちを選びますか。","一日中頑張って働いた後、帰り道についでコンビ二やスーパーでインスタントラーメンを買ってテレビの前に食べながら寝てしまう。
なぜ多くの人々がこの寂しい生活に慣れてきたのでしょうか。
まず、インターネットやソシァルネットワークによってインフォメーションがとても早く伝えるようになりました。インフォメーションや情報を交換するのはもっと早くもっと簡単になればなるほど人間の生活も忙しくなりました。
次に、忙しい日常生活の中にご飯を作る時間がどんどん減ってきました。確かに、ご飯を作る代わりにファーストフードを買うのは一番便利で安いです。
しかし、家族や友達と一緒にご飯を楽しめる時間もなくなります。
または、ファーストフードが安い一方で、自分で作ったご飯と違って健康にあまりよくないです。
私たちは忙しい毎日の中に、ファーストフードを買ったり早く食べたりすることで大切な物を失っていると思います。大切な物と言うのはご飯を作ったり友達と一緒に食べたり、コミューニケーションを取ったりすることです。つまり、人間のライフスタイルが変わるにつれてこの社会の人々が寂しくなると言うことです。
情報やインフォーメーションが早く伝えるようになったため私たちの生活が忙しくなったのは現実です。それにしても、健康を気せずに便利なファストフードを食べるか、友達関係を深むためにご飯を作るか、私たち人間は選ぶことができます。
あな",72.0,intermediate,14.0,291.0,20.785714285714285,0.4295532646048109,25.0,611.0,26.0,14.0,131.0,32.0,2.424,1.95,3.475,3.419,2.3,2.301
94,94,94,GDE02,DEU,ドイツ語,"人間は食べなければならない。むかし食品を作るや集めるはよく危なくて、難しくて、疲れる仕事だった。皆は一緒に毎日のご飯のために毎日働いていた。今5分間歩くと温かくて美味しい食事を食べられる。人間は数千年間に向上して、どんなでも作る亊方が簡単になりって、方が早くなった。料理を作るはも早くなったと今日に""早い食べ物」、英語でFast foodを買えて食べられる。
そうしたら生活も早くなりましたから、皆はいつでも忙しいから、それはとても便利だ。30分の昼休みに同僚とが学の後で友達とファストフォードのレストランで少し食べられると料理作るに気にしないでもいいから、仕事や宿題のことに考えられる。ファストフォードのお蔭でいつでも働いてや忙しいは出来る。進歩は生活変わると時間で進歩が払った。家に帰ると料理を作るはよく体によくて楽しいが、時間がかかる。子供の時にたくさん人は家族と自分で作った夜ご飯を食べる。でも一人で住んだら、自分で家に料理を作ると食べるは寂しいそう。一人ですきなと美味しい食べ物を作れるが、だれか料理のために嬉しくなって、一緒に話せて、笑えて人がない。家族がないとだれか本当に好きになる時間がないのに少ないある時間で知り合い人とファストフォードを食べるは一人で寂しい家に食べるが方がいい気持ちだ。だからファストフォードは今の早くて、寂しい時に一人じゃなくなって助けている。ファストフォードを食べるは可もなく不可もなし。たくさん人に仕方がない。
でももしかしたら私達は一人生きたくなければ、違うな生活に考えてが方がいい。例えば時間がかかるとよく友達と料理を作ると本当の友達になるは町によく分からす所に迎えるが方が楽しい。友達に親しければ、親しいほどすごい人だと分かっているから、家に招くと一緒に食べると笑うは命が嬉しくなさせる。
ファストフォードは時間がない世界に便利だといつでも要るが、料理を作る魔法は、知り合い人は友達になる。","人間は食べなければならない。むかし食品を作るや集めるはよく危なくて、難しくて、疲れる仕事だった。皆は一緒に毎日のご飯のために毎日働いていた。今5分間歩くと温かくて美味しい食事を食べられる。人間は数千年間に向上して、どんなでも作る亊方が簡単になりって、方が早くなった。料理を作るはも早くなったと今日に""早い食べ物」、英語でFast foodを買えて食べられる。
そうしたら生活も早くなりましたから、皆はいつでも忙しいから、それはとても便利だ。30分の昼休みに同僚とが学の後で友達とファストフォードのレストランで少し食べられると料理作るに気にしないでもいいから、仕事や宿題のことに考えられる。ファストフォードのお蔭でいつでも働いてや忙しいは出来る。進歩は生活変わると時間で進歩が払った。家に帰ると料理を作るはよく体によくて楽しいが、時間がかかる。子供の時にたくさん人は家族と自分で作った夜ご飯を食べる。でも一人で住んだら、自分で家に料理を作ると食べるは寂しいそう。一人ですきなと美味しい食べ物を作れるが、だれか料理のために嬉しくなって、一緒に話せて、笑えて人がない。家族がないとだれか本当に好きになる時間がないのに少ないある時間で知り合い人とファストフォードを食べるは一人で寂しい家に食べるが方がいい気持ちだ。だからファストフォードは今の早くて、寂しい時に一人じゃなくなって助けている。ファストフォードを",43.0,beginner,22.0,441.0,20.045454545454547,0.3514739229024943,32.0,819.0,28.0,16.0,212.0,57.0,3.43,3.084,4.68,4.586,3.533,3.384
95,95,95,GDE06,DEU,ドイツ語,"ホームクッキングとファーストフーズと比べる前に、またはそれらの可否を論じる前に、何かファーストーフーズ、何かホームクッキングの定義が必要である。ファーストフーズというのは、注文してすぐに食べられる料理、あるいは短時間で作った料理である。二番のグループに入った食べ物は例としてインスタントラーメン、ピザ、アイスクリームなどである。それらは人々に家に短時間名貯蔵させる。外食と言えば、マクドナルド、ピザハット、まはは店頭的な料理を作るお店、ラーメン、（回転）寿司、丼などはそのファーストフーズレストのグループが含む。
ファーストフーズの料理を詳しく見れば、その料理の栄養の大きな部分は動物性蛋白、含水炭素と油っぽい、または、お塩と調味料が強いである。
ホームクッキングの料理とファーストフードを比べたら、ホームクッキングの材料の方は健康にいいであったが、今日の近代化社会の忙しい生活で、ホームクッキングの材料はしばしば動物性蛋白と含水炭素しかないである。理由は、人々がその材料をストレスの多い生活に対して役に立つと信じる。
ファーストフードの場合、上に述べた短時間のことは長点であると思う。休憩が少ない仕事で、人々が買い物するにとってあまり時間がなくて、そのホームクッキングの作ることにとって長い時間が必要である。","ホームクッキングとファーストフーズと比べる前に、またはそれらの可否を論じる前に、何かファーストーフーズ、何かホームクッキングの定義が必要である。ファーストフーズというのは、注文してすぐに食べられる料理、あるいは短時間で作った料理である。二番のグループに入った食べ物は例としてインスタントラーメン、ピザ、アイスクリームなどである。それらは人々に家に短時間名貯蔵させる。外食と言えば、マクドナルド、ピザハット、まはは店頭的な料理を作るお店、ラーメン、（回転）寿司、丼などはそのファーストフーズレストのグループが含む。
ファーストフーズの料理を詳しく見れば、その料理の栄養の大きな部分は動物性蛋白、含水炭素と油っぽい、または、お塩と調味料が強いである。
ホームクッキングの料理とファーストフードを比べたら、ホームクッキングの材料の方は健康にいいであったが、今日の近代化社会の忙しい生活で、ホームクッキングの材料はしばしば動物性蛋白と含水炭素しかないである。理由は、人々がその材料をストレスの多い生活に対して役に立つと信じる。
ファーストフードの場合、上に述べた短時間のことは長点であると思う。休憩が少ない仕事で、人々が買い物するにとってあまり時間がなくて、そのホームクッキングの作ることにとって長い時間が必要である。",54.0,beginner,10.0,249.0,24.9,0.4738955823293173,15.0,555.0,30.0,21.0,97.0,48.0,2.865,2.465,3.996,3.864,2.934,2.831
